1  	 err_1 	 2  	 err_2 	 3  	 err_3 	 4  	 err_4 	 5  	 err_5 	 6_1  	 err_6_1 	 6_2  	 err_6_2 	 6_3  	 err_6_3 	 7  	 err_7 	 8  	 err_8 	 9_1  	 err_9_1 	 9_2  	 err_9_2 	 10  	 err_10 	 11  	 err_11
[ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms] 	 [ms]
63415	61.2985	57453	54.4876	0	5.89632e-156	24020	27.2438	26174	20.4328	7005	20.4328	6987	20.4328	0	5.89632e-156	0	5.89632e-156	0	5.89632e-156	2397	13.6219	2353	13.6219	ND	ND	ND	ND
102383	61.2985	92344	54.4876	22064	84.7113	38755	27.2438	34120	20.4328	12012	20.4328	12021	20.4328	4932	33.9706	3102	13.1909	1672	33.9706	3138	9.63214	3065.5	9.63214	10521	13.6219	9908	13.6219	
141856	61.2985	128619	54.4876	44056	101.173	53411	27.2438	42461	20.4328	17111	20.4328	17103	20.4328	10044	28.5657	6284	21.587	3578	53.1413	3943	13.6219	3989	13.6219	ND	ND	ND	ND
181104	61.2985	163108	54.4876	66034	58.532	68254	27.2438	50648	20.4328	22048	20.4328	22064	20.4328	15004	52.9717	9486	14.3527	5382	43.5201	4906	13.6219	4875	13.6219	ND	ND	ND	ND
221178	61.2985	198367	54.4876	88114	54.6443	83044	27.2438	58820	20.4328	27210	20.4328	27205	20.4328	20072	58.258	12628	31.209	7320	53.6656	5858	13.6219	5805	13.6219	ND	ND	ND	ND
261074	61.2985	234132	54.4876	110248	59.6154	97691	27.2438	66990	20.4328	32288	20.4328	32263	20.4328	25156	51.342	15728	52.5738	9206	48.2286	6805	13.6219	6762	13.6219	ND	ND	ND	ND
301213	61.2985	269735	54.4876	132260	112.428	112475	27.2438	75233	20.4328	37352	20.4328	37378	20.4328	30328	54.1664	18784	21.587	11102	34.5543	7730	13.6219	7692	13.6219	ND	ND	ND	ND
341171	61.2985	305387	54.4876	154530	117.558	127363	27.2438	83368	20.4328	42461	20.4328	42460	20.4328	35376	22.4944	22146	43.8862	13014	24.8193	8715	9.63214	8656.5	9.63214	ND	ND	ND	ND
381196	61.2985	340954	54.4876	176914	50.6557	142164	27.2438	91720	20.4328	47635	20.4328	47603	20.4328	40560	31.4643	25234	16.9115	14870	27.3861	9711	9.63214	9657	9.63214	ND	ND	ND	ND
421205	61.2985	376724	54.4876	199198	65.681	157075	27.2438	99974	20.4328	52711	20.4328	52702	20.4328	45700	37.6829	28440	40.8656	16890	53.1977	10640	9.63214	10584.5	9.63214	ND	ND	ND	ND
461549	61.2985	412758	54.4876	221638	28.8791	172167	27.2438	108361	20.4328	57902	20.4328	57944	20.4328	50810	61.6441	31612	18	18728	33.3766	11625	9.63214	11578	9.63214	18871	13.6219	14058	13.6219	
